latitude,longitude,username,tweettext
34.051111,-118.411389,TJ Jacques,#ColumbiaCollege #Oscar #Party where I got to hold the #AcademyAward for best picture in 1947… https://t.co/qAgeA6qnxO
34.09306091,-118.32699248,ANDI COSMETICS,Andi Cosmetics!! #oscar #sponsor #Fashion #AndiCosmetics #makeup @ Taglyan Cultural Complex https://t.co/HLNkqztBYM
34.0522,-118.243,Irina,His Oscar! ???
 Finally ???
#oscar #awards #2016 #therevenant #best #actor #adore #this #man #he… https://t.co/TTlDvzfBoX
34.1132647,-118.31459212,Samantha Raphael,Thanks for #lancomemakeup lancomeofficial for the after party gift #Oscar #party #VFSC… https://t.co/pu8r3tf7Lv
34.1026192,-118.3395081,Alvaro Mangas,Finally I get my #oscar too #oscars2016 #dolbytheatre #redcarpet @ Dolby Theatre https://t.co/mHgeQEleuO
33.97875978,-118.46734759,susan sebanc,Today i learned that in LA, everybody gets dressed up all fancy to go to #oscar parties.
Perhaps… https://t.co/yYmSKBUQ8E
34.10165393,-118.32636446,Adrian Nicolas,El Oso  se merece un Oscar  #Oscars2016 #Oscar #LeonardoDiCaprio #ElRenacido @ Hollywood https://t.co/X69s7ZvrHD
34.0541077,-118.4638443,Fatima Malik,#Irish actress @bekkawainwright dressed for a night at the @instyle #Oscar #party at #baltaire… https://t.co/7d42KZdYpP
34.14939725,-118.33800114,Raj Rawal,They don't want you to have an #Oscar. @ Warner Brothers Studios Back Lot https://t.co/nYg7ZDu6Ns
34.09752831,-118.20608757,marianela,Still buzzing over my #Oscar worthy night. 6,000 strong were vibrating at the highest of… https://t.co/oTDQ3qIcy0
34.0304,-118.779,Judah,leonardodicaprio finally wins an #oscar  #ahhhhhh?  @camerondburnett amandajplum @ Malibu,… https://t.co/aub8vsZaIa
34.0522,-118.243,Syed Omer Nadeem,Because Leonardo DiCaprio won an Oscar??
#leo #leonardodicaprio #oscar #academy #love #beautiful… https://t.co/RWLytbuJV7
34.07042419,-118.35126223,MR ROGER,#LeonardoDicaprio ? tutto meritato l'#oscar sei il top per impegno e… https://t.co/Khrj2aIJPz
34.1026192,-118.3395081,Katarina Van Derham,Thank you Academy for the #Oscar in the "Best Dressed" category. I got many compliments tonight… https://t.co/nCpRTs1RpN
34.0879,-118.372,Jc Olivera,Actress Bellamy Young attends The Elton John Aids Foundation #Oscar Viewing Party on February… https://t.co/nOJo0UaW8J
34.1,-118.33333333,megha merani,Epic. The power of @ladygaga #tillithappenstoyou #oscar #oscars #oscars2016 #ladygaga #hollywood… https://t.co/LaNjt9vhe1
34.10262,-118.33951,Kingsley Fernandes,Did #Leo really win an #oscar? @ The Oscars 88th Academy Awards 2016 https://t.co/GGADFlD57B
34.10138889,-118.32666667,Artem Kozhevnikov,???? ?? ?? ???????, ?????? ?? ??? ?????????. ??? #Oscar #TheRevenant #LeonardoDiCaprio #vape… https://t.co/3RmWHIOOUO
34.09694804,-118.36302632,YOGAFAITH,Oscar night ???#oscaryoga #oscar #gold #oscars2016 #golden #yogaeverywhere #glam #yogafaith… https://t.co/iRgpyauLqe
-2.4509532,-54.7164618,Rodrigo Sousa,"Obg pelo seu apoio urso". ?????
#oscar2016 #oscar #filme #premiacaodooscar2016… https://t.co/p4yphrkB7x
-8.744256,-63.8913466,Thallisson Lopes ?,Good night.. #the #oscar #goto #sono. @ David Motta Hair Stylist https://t.co/eq7ZcdQich
34.0879,-118.372,Jc Olivera,Actress Andie MacDowell attends The Elton John Aids Foundation #Oscar Viewing Party on February… https://t.co/vsoSPeaJrE
-6.8,39.2833,Jesus Wema Masebo,Ma #nigga #oscar @ Dar es Salaam, Tanzania https://t.co/64PtSsE7Xi
-7.69479,111.42594,Fransiska Ovia,Mas #LeonardoDiCaprio  menang ciyee bawa pulang piala #oscar Selamat selamat \=D/
